CaneID,Treatment,30-Aug,4-Sep,9-Sep,12-Sep,16-Sep,19-Sep,23-Sep,26-Sep,30-Sep,3-Oct,7-Oct,x,Max,30/08/2019a,4/09/2019a,9/09/2019a,12/09/2019a,16/09/2019a,19/09/2019a,23/09/2019a,26/09/2019a,30/09/2019a,3/10/2019a,7/10/2019a,30/08/2019b,4/09/2019b,9/09/2019b,12/09/2019b,16/09/2019b,19/09/2019b,23/09/2019b,26/09/2019b,30/09/2019b,3/10/2019b,7/10/2019b,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Untreated control,1,1,1,1,7,10,13,13,14,17,21,x,21,0.047619048,0.047619048,0.047619048,0.047619048,0.333333333,0.476190476,0.619047619,0.619047619,0.666666667,0.80952381,1,0.047619048,0.047619048,0.047619048,0.047619048,0.333333333,0.476190476,0.619047619,0.619047619,0.666666667,0.80952381,1,,,Average of 30/08/2019b,Average of 4/09/2019b,Average of 9/09/2019b,Average of 12/09/2019b,Average of 16/09/2019b,Average of 19/09/2019b,Average of 23/09/2019b,Average of 26/09/2019b,Average of 30/09/2019b,Average of 3/10/2019b,Average of 7/10/2019b,,,,,,,,,,,,
1002,Budup Lonza 4% + AB 2%           M,,,,,1,1,8,18,23,26,x,,26,,,,,0.038461538,0.038461538,0.307692308,0.692307692,0.884615385,1,1,0,0,0,0,0.038461538,0.038461538,0.307692308,0.692307692,0.884615385,1,1,,2% AB                                                M,0,0.003846154,0.013171551,0.017594628,0.044034736,0.053249479,0.215384175,0.42685899,0.729252202,0.90869554,1,,,,,,,,,,,,
1003,Budup 1% + AB 2%                        E,,,,,1,5,8,13,16,22,x,,22,,,,,0.045454545,0.227272727,0.363636364,0.590909091,0.727272727,1,1,0,0,0,0,0.045454545,0.227272727,0.363636364,0.590909091,0.727272727,1,1,,6% HiCane                                        L,0,0,0.008214286,0.035714744,0.092451759,0.241361984,0.667676388,0.828023933,0.97374954,1,1,,,,,,,,,,,,
1004,Budup 1% + AB 2%                       VL,,,,,0,1,2,5,9,21,24,,24,,,,,0,0.041666667,0.083333333,0.208333333,0.375,0.875,1,0,0,0,0,0,0.041666667,0.083333333,0.208333333,0.375,0.875,1,,6% HiCane                                       M,0,0,0.004895833,0.046720674,0.216734699,0.484260048,0.830647265,0.904539154,0.988667122,1,1,,,,,,,,,,,,
1005,Budup 4% + AB 2%                        M,,1,1,1,4,11,15,22,x,,,,22,,0.045454545,0.045454545,0.045454545,0.181818182,0.5,0.681818182,1,1,1,1,0,0.045454545,0.045454545,0.045454545,0.181818182,0.5,0.681818182,1,1,1,1,,6% HiCane                                      VL,0,0,0,0.01741453,0.032516879,0.08229032,0.197215789,0.350137946,0.735531713,0.889907329,1,,,,,,,,,,,,
1006,6% HiCane                                        L,,,,2,5,12,22,23,25,x,,,25,,,,0.08,0.2,0.48,0.88,0.92,1,1,1,0,0,0,0.08,0.2,0.48,0.88,0.92,1,1,1,,6% HiCane + 0.2% Driftstop E         ,0,0.028503171,0.184950401,0.456244385,0.626259218,0.812530804,0.945802786,0.97900754,1,1,1,,,,,,,,,,,,
1007,Budup 4% + AB 2%                         L,,,,,0,0,2,7,13,18,x,,18,,,,,0,0,0.111111111,0.388888889,0.722222222,1,1,0,0,0,0,0,0,0.111111111,0.388888889,0.722222222,1,1,,Budup 1% + AB 2%                         L,0,0.001923077,0.00525641,0.012301865,0.028671597,0.048961769,0.18362501,0.335179583,0.687033158,0.894326405,1,,,,,,,,,,,,
1008,Budup 4% + AB 2%                       VL,,,,,1,2,4,10,18,20,24,x,24,,,,,0.041666667,0.083333333,0.166666667,0.416666667,0.75,0.833333333,1,0,0,0,0,0.041666667,0.083333333,0.166666667,0.416666667,0.75,0.833333333,1,,Budup 1% + AB 2%                        E,0,0.002380952,0.01547619,0.069920772,0.133392294,0.258991956,0.454703347,0.659678403,0.841875918,0.93572801,1,,,,,,,,,,,,
1009,2% AB                                                M,,,,,0,0,0,2,4,10,13,,13,,,,,0,0,0,0.153846154,0.307692308,0.769230769,1,0,0,0,0,0,0,0,0.153846154,0.307692308,0.769230769,1,,Budup 1% + AB 2%                        M,0,0,0.007679865,0.016608437,0.031070729,0.04758257,0.20771599,0.390880892,0.739697877,0.952247005,1,,,,,,,,,,,,
1010,Budup 1% + AB 2%                        M,,,,,1,2,7,14,18,19,x,,19,,,,,0.052631579,0.105263158,0.368421053,0.736842105,0.947368421,1,1,0,0,0,0,0.052631579,0.105263158,0.368421053,0.736842105,0.947368421,1,1,,Budup 1% + AB 2%                       VL,0,0,0,0,0,0.012083333,0.078711443,0.166882647,0.573076786,0.787424563,1,,,,,,,,,,,,
1011,Budup 6% + AB 2%                        E,,,,,3,5,8,16,20,23,x,,23,,,,,0.130434783,0.217391304,0.347826087,0.695652174,0.869565217,1,1,0,0,0,0,0.130434783,0.217391304,0.347826087,0.695652174,0.869565217,1,1,,Budup 2% + AB 2%                         L,0,0.001666667,0.012086096,0.01962839,0.032944023,0.068012267,0.221510924,0.450783662,0.81616857,0.942079659,1,,,,,,,,,,,,
