CaneID,30-Oct,1-Nov,5-Nov,7-Nov,11-Nov,14-Nov,,18-Nov,,21-Nov,,25-Nov,,28-Nov,,2-Dec,,,,,,
1001,,,,,12,18,9,25,3,24,3,27,x,,,,,,,,,
1002,,,,,0,3,,12,,26,8,33,1,34,x,,,,,,,
1003,,,,,3,13,,23,5,29,3,32,x,,,,,,,,,
1004,,,,,0,0,,3,,9,,18,1,19,x,,,,,,,
1005,,,,,0,13,,17,x,,,,,,,,,,,,,
1006,,,,,1,6,,11,2,13,x,,,,,,,,,,,
1007,,,,,0,2,,7,,10,,21,x,,,,,,,,,
1008,,,,,0,0,,6,,10,1,11,x,,,,,,,,,
1009,,,,,0,0,,0,,2,,11,2,13,x,,,,,,,
1010,,,,,0,1,,6,,7,1,8,x,,,,,,,,,
1011,,,,,1,9,,18,,21,1,22,x,,,,,,,,,
1012,,,,,3,6,,16,,20,5,25,x,,,,,,,,,
1013,,,,,0,9,,13,2,15,1,16,x,,,,,,,,,
1014,,,,,0,0,,20,,24,3,27,x,,,,,,,,,
1015,,,,,0,2,,14,,18,7,25,x,,,,,,,,,
1016,,,,,6,14,,23,,27,10,35,2,36,1,37,x,,,,,
1017,,,,,0,0,,0,,3,12,12,3,15,x,,,,,,,
1018,,,,,0,1,,4,,13,7,20,x,,,,,,,,,
1019,,,,,3,10,,18,,20,1,20,1,21,x,,,,,,,
1020,,,,,3,8,,18,,19,3,22,x,,,,,,,,,
1021,,,,,0,2,,9,,13,2,15,x,,,,,,,,,
1022,,,,,3,19,,28,,28,2,30,x,,,,,,,,,
1023,,,,,0,0,,9,,21,1,22,x,,,,,,,,,
1024,,,,,16,17,,22,,20,1,22,x,,,,,,,,,
1049,,,,,0,0,,6,,8,1,9,x,,,,,,,,,
1050,,,,,0,3,,12,3,14,2,16,x,,,,,,,,,
1051,,,,,0,0,,0,,1,,10,1,10,1,11,x,,,,,
1052,,,,,0,0,,5,,19,4,23,x,,,,,,,,,
1053,,,,,0,3,,13,,20,x,,,,,,,,,,,
1054,,,,,0,0,,2,4,3,3,6,x,,,,,,,,,
1055,,,,,0,0,,5,,7,x,,,,,,,,,,,
1056,,,,,0,0,,0,,2,3,4,1,5,x,,,,,,,
1057,,,,,0,0,,0,,5,9,14,x,,,,,,,,,
1058,,,,,0,1,,0,,4,,18,9,24,3,27,x,,,,,
1059,,,,,0,0,,3,,8,8,15,1,15,1,16,x,,,,,
1060,,,,,0,0,,7,,13,5,18,x,,,,,,,,,
1061,,,,,0,0,,5,,13,2,15,x,,,,,,,,,
1062,,,,,5,10,,30,,34,3,37,x,,,,,,,,,
1063,,,,,0,3,,13,,18,14,30,2,32,x,,,,,,,
1064,,,,,1,6,,9,,21,9,30,x,,,,,,,,,
1065,,,,,0,0,,5,,9,9,17,1,18,x,,,,,,,
1066,,,,,1,3,,6,,7,1,8,x,,,,,,,,,
1067,,,,,1,4,,15,,17,x,,,,,,,,,,,
1068,,,,,0,0,,0,,1,,5,1,6,x,,,,,,,
1069,,,,,0,0,,0,,6,5,10,1,11,x,,,,,,,
1070,,,,,0,0,,6,,10,10,17,3,19,1,20,x,,,,,
1071,,,,,0,0,,3,,11,13,23,1,24,x,,,,,,,
1072,,,,,0,0,,5,,11,16,27,x,,,,,,,,,
1097,,,,,0,3,,9,,20,5,25,x,,,,,,,,,
1098,,,,,3,4,,9,,15,4,19,x,,,,,,,,,
1099,,,,,0,0,,1,,3,7,7,3,10,x,,,,,,,
1100,,,,,2,3,,8,,14,4,17,1,18,x,,,,,,,
1101,,,,,1,3,,6,,6,1,7,x,,,,,,,,,
1102,,,,,0,0,,2,,3,,11,x,,,,,,,,,
1103,,,,,0,2,,20,,24,8,31,1,32,x,,,,,,,
1104,,,,,4,25,,28,,28,2,30,x,,,,,,,,,
1105,,,,,0,0,,5,,17,12,28,1,29,x,,,,,,,
1106,,,,,4,4,,19,,22,5,27,x,,,,,,,,,
1107,,,,,1,1,,7,,13,2,15,x,,,,,,,,,
1108,,,,,0,9,,21,,22,1,23,x,,,,,,,,,
1109,,,,,0,0,,1,,10,,34,2,36,x,,,,,,,
1110,,,,,1,3,,15,,21,1,22,x,,,,,,,,,
1111,,,,,5,10,,17,,17,x,,,,,,,,,,,
1112,,,,,8,13,,26,,27,1,28,x,,,,,,,,,
1113,,,,,8,9,,13,,14,x,,,,,,,,,,,
1114,,,,,0,1,,8,,14,2,15,1,16,x,,,,,,,
1115,,,,,0,5,,17,,24,4,28,x,,,,,,,,,
1116,,,,,5,8,,9,,9,1,10,x,,,,,,,,,
1117,,,,,3,3,,4,,10,11,20,1,21,x,,,,,,,
1118,,,,,0,3,,10,,18,4,22,x,,,,,,,,,
1119,,,,,0,2,,4,,5,1,6,x,,,,,,,,,
1120,,,,,1,5,,10,,14,3,17,x,,,,,,,,,
1145,,,,,0,0,,22,,33,3,36,x,,,,,,,,,
1146,,,,,7,8,,12,,15,3,18,x,,,,,,,,,
1147,,,,,0,1,,5,,11,2,12,1,13,x,,,,,,,
1148,,,,,7,18,,25,,25,x,,,,,,,,,,,
1149,,,,,0,4,,12,,15,4,19,x,,,,,,,,,
1150,,,,,0,0,,3,,7,11,18,x,,,,,,,,,
1151,,,,,0,0,,14,,26,4,30,x,,,,,,,,,
1152,,,,,0,6,,23,,27,2,29,x,,,,,,,,,
1153,,,,,28,40,,45,x,,,,,,,,,,,,,
1154,,,,,1,1,,13,,21,x,,,,,,,,,,,
1155,,,,,1,2,,14,,26,4,30,x,,,,,,,,,
1156,,,,,21,30,,40,x,,,,,,,,,,,,,
1157,,,,,0,39,,63,,63,1,64,x,,,,,,,,,
1158,,,,,6,17,,33,,36,1,37,x,,,,,,,,,
1159,,,,,0,4,,25,,49,6,55,x,,,,,,,,,
1160,,,,,0,3,,19,,37,4,41,x,,,,,,,,,
1161,,,,,3,13,,24,,26,1,27,x,,,,,,,,,
